Z,Y,X,Red,Green,Blue,Size
0,46,196,52,56,57,1
0,46,323,42,53,53,1
0,46,324,56,57,56,1
0,46,325,52,53,53,1
0,46,326,50,53,48,1
0,47,67,55,61,59,1
0,47,68,57,54,58,1
0,47,69,58,56,59,1
0,47,70,52,50,53,1
0,47,71,59,62,56,1
0,47,194,39,42,55,1
0,47,195,60,59,59,1
0,47,196,64,63,65,1
0,47,197,69,71,72,1
0,47,198,64,60,57,1
0,47,199,55,53,51,1
0,47,322,43,50,61,1
0,47,323,68,72,73,1
0,47,324,77,78,78,1
0,47,325,83,83,78,1
0,47,326,72,65,63,1
0,47,327,61,59,56,1
0,47,328,55,48,47,1
0,48,66,45,59,61,1
0,48,67,76,94,93,1
0,48,68,88,88,83,1
0,48,69,89,88,81,1
0,48,70,72,65,62,1
0,48,71,66,69,62,1
0,48,72,55,49,49,1
0,48,194,49,60,66,1
0,48,195,72,82,92,1
0,48,196,101,96,87,1
0,48,197,85,87,83,1
0,48,198,77,66,60,1
0,48,199,60,59,55,1
0,48,200,51,56,58,1
0,48,201,54,47,43,1
0,48,322,54,61,77,1
0,48,323,80,78,91,1
0,48,324,102,102,102,1
0,48,325,95,90,79,1
0,48,326,79,75,67,1
0,48,327,65,60,61,1
0,48,328,56,64,71,1
0,48,329,56,47,48,1
0,49,66,61,74,90,1
0,49,67,95,96,117,1
0,49,68,132,118,113,1
0,49,69,105,103,98,1
0,49,70,89,79,73,1
0,49,71,76,72,62,1
0,49,72,57,61,65,1
0,49,73,50,52,62,1
0,49,74,56,49,41,1
0,49,193,39,49,57,1
0,49,194,71,81,91,1
0,49,195,96,108,121,1
0,49,196,121,111,107,1
0,49,197,97,107,116,1
0,49,198,113,104,92,1
0,49,199,74,77,70,1
0,49,200,63,57,52,1
0,49,201,47,51,56,1
0,49,321,33,51,65,1
0,49,322,78,89,98,1
0,49,323,108,113,111,1
0,49,324,104,112,119,1
0,49,325,109,116,119,1
0,49,326,129,125,106,1
0,49,327,95,94,81,1
0,49,328,73,60,51,1
0,49,329,53,53,52,1
0,50,65,35,55,68,1
0,50,66,81,94,103,1
0,50,67,109,114,111,1
0,50,68,111,123,136,1
0,50,69,128,119,123,1
0,50,70,123,116,118,1
0,50,71,127,119,94,1
0,50,72,87,77,63,1
0,50,73,58,54,49,1
0,50,74,52,55,53,1
0,50,193,40,58,68,1
0,50,194,83,100,106,1
0,50,195,101,104,111,1
0,50,196,121,130,146,1
0,50,197,139,124,122,1
0,50,198,118,115,122,1
0,50,199,118,105,98,1
0,50,200,100,92,78,1
0,50,201,64,50,46,1
0,50,202,55,58,58,1
0,50,321,41,57,72,1
0,50,322,91,104,96,1
0,50,323,98,115,129,1
0,50,324,133,141,150,1
0,50,325,139,130,121,1
0,50,326,122,132,117,1
0,50,327,107,101,92,1
0,50,328,104,109,97,1
0,50,329,80,61,58,1
0,50,330,59,53,59,1
0,50,331,53,45,46,1
0,51,65,41,58,75,1
0,51,66,92,106,102,1
0,51,67,105,122,134,1
0,51,68,137,157,160,1
0,51,69,154,144,135,1
0,51,70,141,142,113,1
0,51,71,115,116,97,1
0,51,72,105,106,103,1
0,51,73,96,76,70,1
0,51,74,68,61,61,1
0,51,75,53,44,45,1
0,51,193,48,60,70,1
0,51,194,96,122,123,1
0,51,195,123,120,121,1
0,51,196,127,156,179,1
0,51,197,177,173,169,1
0,51,198,165,141,116,1
0,51,199,116,120,106,1
0,51,200,105,94,101,1
0,51,201,94,89,84,1
0,51,202,71,62,53,1
0,51,204,51,50,39,1
0,51,321,61,67,87,1
0,51,322,115,131,128,1
0,51,323,125,123,125,1
0,51,324,131,155,177,1
0,51,325,175,171,169,1
0,51,326,167,148,126,1
0,51,327,114,111,102,1
0,51,328,97,90,94,1
0,51,329,93,92,86,1
